fi:a00001740	fi:a00001740
fi:a00002098	fi:a00002142
fi:a00002312	fi:a00002394
fi:a00002527	fi:a00002624
fi:a00002730	fi:a00002838
fi:a00002843	fi:a00002969
fi:a00002956	fi:a00003091
fi:a00003131	fi:a00003256
fi:a00003356	fi:a00003459
fi:s00003553	fi:s00003753
fi:s00003700	fi:s00003880
fi:s00003829	fi:s00004003
fi:a00003939	fi:a00004115
fi:s00004171	fi:s00004463
fi:s00004296	fi:s00004611
fi:a00004413	fi:a00004733
fi:s00004615	fi:s00005004
fi:s00004723	fi:s00005118
fi:s00004817	fi:s00005233
fi:a00004980	fi:a00005400
fi:s00005107	fi:s00005601
fi:a00005205	fi:a00005709
fi:s00005473	fi:s00006061
fi:s00005599	fi:s00006186
fi:s00005718	fi:s00006303
fi:s00005839	fi:s00006433
fi:a00006032	fi:a00006627
fi:s00006245	fi:s00006845
fi:a00006336	fi:a00006938
fi:s00006777	fi:s00007437
fi:s00006885	fi:s00007609
fi:s00007096	fi:s00007754
fi:s00007208	fi:s00007870
fi:s00007331	fi:s00007997
fi:s00007516	fi:s00008183
fi:s00007697	fi:s00008339
fi:a00007813	fi:a00008459
fi:s00007990	fi:s00008623
fi:a00008206	fi:a00008802
fi:s00008443	fi:s00009133
fi:a00008595	fi:a00009282
fi:a00008734	fi:a00009424
fi:a00008877	fi:a00009579
fi:a00009046	fi:a00009933
fi:s00009346	fi:s00010235
fi:s00009618	fi:s00010582
fi:a00009978	fi:a00010942
fi:s00010385	fi:s00011378
fi:s00010537	fi:s00011590
fi:s00010726	fi:s00011760
fi:s00011160	fi:s00012072
fi:s00011327	fi:s00012237
fi:s00011665	fi:s00012555
fi:a00011757	fi:a00012644
fi:s00012071	fi:s00012929
fi:s00012362	fi:s00013195
fi:s00012689	fi:s00013509
fi:s00012932	fi:s00013729
fi:a00013160	fi:a00013927
fi:s00013442	fi:s00014214
fi:s00013662	fi:s00014438
fi:a00013887	fi:a00014656
fi:s00014358	fi:s00015179
fi:s00014490	fi:s00015363
